Name,Marketcap,Country,Share price,Change (1 day),Change (1 year),Categories
Morgan Stanley,$135.04 B,USA,$82.28,2.40%,-7.23%,"🏦 Banks, 💳 Financial services, 💰 Investment"
ConocoPhillips,$133.07 B,USA,$112.07,1.10%,-0.47%,"🛢 Oil&Gas, ⚡ Energy"
Caterpillar,$132.10 B,USA,$259.50,0.81%,12.38%,"🇺🇸 Dow jones, ⚙️ Machinery manufacturing, 🏭 Manufacturing"
S&P Global,$131.59 B,USA,$415.38,-0.48%,17.73%,💳 Financial services
General Electric,$131.24 B,USA,$120.59,0.93%,84.73%,🏙 Conglomerate
Honeywell,$128.29 B,USA,$194.61,-1.61%,-8.78%,"🚀 Aerospace, 🔫 Defense contractors, 🇺🇸 Dow jones"
Royal Bank Of Canada,$129.65 B,Canada,$92.18,0.83%,-4.62%,"🏦 Banks, 💳 Financial services"
Uber,$126.96 B,USA,$61.70,1.18%,133.27%,"🖥️ Internet, 👩‍💻 Tech, 🚚 Transportation, 🚘 Ridesharing"
Inditex,$127.32 B,Spain,$20.45,0.71%,58.77%,"👚 Clothing, 🛍️ Retail"
Anheuser-Busch Inbev,$125.20 B,Belgium,$63.02,0.22%,5.79%,"🍷 Alcoholic beverages, 🥤 Beverages"
Applied Materials,$123.57 B,USA,$147.72,-0.45%,36.01%,"📟 Semiconductors, 👩‍💻 Tech, 💻 Tech Hardware"
American Express,$122.74 B,USA,$168.43,-0.11%,9.28%,"💳 Financial services, 🇺🇸 Dow jones"
Nextera Energy,$122.48 B,USA,$59.70,-0.25%,-30.39%,"🔋 Electricity, 🚰 Utility companies, 🌞 Renewable energy, ⚡ Energy"
AT&T,$120.97 B,USA,$16.92,-0.99%,-11.51%,📡 Telecommunication
Deutsche Telekom,$121.36 B,Germany,$24.41,0.07%,20.31%,"📡 Telecommunication, 🇩🇪 DAX"
Airbus,$120.67 B,Netherlands,$153.05,2.50%,32.18%,"✈️ Aircraft manufacturers, 🚀 Aerospace, 🇫🇷 CAC 40, 🇩🇪 DAX, 🏭 Manufacturing"
Unilever,$119.55 B,UK,$47.45,-1.02%,-5.85%,"🍴 Food, 🛍 Consumer goods"
Lowe's Companies,$119.52 B,USA,$207.83,-0.23%,2.10%,🛍️ Retail
Commonwealth Bank,$117.28 B,Australia,$70.04,0.16%,-1.17%,"🏦 Banks, 💳 Financial services"
Raytheon Technologies,$116.93 B,USA,$81.32,-0.22%,-18.26%,"🚀 Aerospace, 🔫 Defense contractors"
Sanofi,$116.16 B,France,$46.32,0.56%,-1.28%,"💊 Pharmaceuticals, 🇫🇷 CAC 40, 🧬 Biotech"
Rio Tinto,$113.85 B,UK,$70.17,-0.38%,-2.27%,⛏️ Mining
Charles Schwab,$116.77 B,USA,$64.07,1.76%,-20.16%,"🏦 Banks, 💳 Financial services"
Goldman Sachs,$114.40 B,USA,$350.83,1.80%,-2.02%,"🏦 Banks, 💳 Financial services, 🇺🇸 Dow jones"
Booking Holdings (Booking.com),$114.26 B,USA,"$3,275",1.13%,62.87%,"🖥️ Internet, 👩‍💻 Tech, 🌴 Travel, 🌴 Online Travel"
Elevance Health,$112.30 B,USA,$477.97,0.21%,-9.67%,"⚕️ Healthcare, 🏦 Insurance"
Lockheed Martin,$111.15 B,USA,$448.02,0.20%,-7.70%,"✈️ Aircraft manufacturers, 🚀 Aerospace, 🔫 Defense contractors, 🏭 Manufacturing"
BlackRock,$110.78 B,USA,$744.73,-0.10%,5.87%,💰 Investment
Prologis,$110.73 B,USA,$119.85,0.76%,1.91%,"🏠 Real estate, 💰 Investment, 🏘️ REITs"
Stryker Corporation,$109.84 B,USA,$289.10,-0.10%,16.65%,Medical devices
Starbucks,$109.81 B,USA,$96.61,0.18%,-6.87%,🥤 Beverages
Intuitive Surgical,$109.29 B,USA,$310.42,-0.37%,14.12%,Medical devices
Sony,$109.91 B,Japan,$89.30,0.89%,12.77%,"👩‍💻 Tech, 🎮 Video games, Entertainment, 🔌 Electronics, 💻 Tech Hardware"
NTT (Nippon Telegraph & Telephone),$100.21 B,Japan,$1.13,-11.02%,4.63%,📡 Telecommunication
Mitsubishi UFJ Financial,$108.32 B,Japan,$8.78,1.15%,61.40%,"🏦 Banks, 💳 Financial services"
Toronto Dominion Bank,$106.76 B,Canada,$59.62,0.45%,-9.94%,"🏦 Banks, 💳 Financial services"
Medtronic,$105.50 B,Ireland,$79.35,-0.25%,2.01%,Medical devices
Schneider Electric,$105.40 B,France,$188.80,1.30%,31.97%,"💼 Professional services, 👨‍💻 Software, 👩‍💻 Tech, 🇫🇷 CAC 40"
Deere & Company,$104.73 B,USA,$363.67,0.68%,-17.89%,"⚙️ Machinery manufacturing, 🏭 Manufacturing"
Allianz,$103.06 B,Germany,$263.11,0.68%,22.89%,"🏦 Insurance, 🇩🇪 DAX"
Bristol-Myers Squibb,$102.36 B,USA,$50.31,0.30%,-37.02%,"💊 Pharmaceuticals, 🧬 Biotech"
TJX Companies,$101.57 B,USA,$89.13,0.27%,13.28%,"👚 Clothing, 🛍️ Retail"
BP,$99.52 B,UK,$35.30,1.76%,4.04%,"🛢 Oil&Gas, ⚡ Energy"
Keyence,$100.72 B,Japan,$415.31,-1.69%,2.18%,"👩‍💻 Tech, 🔬 Scientific & Technical Instruments, 💻 Tech Hardware"
CATL,$100.45 B,China,$22.84,-0.55%,-31.82%,"🔋 Electricity, 🔋 Batteries"
Air Liquide,$98.84 B,France,$189.21,0.82%,30.42%,"🧪 Chemicals, 🇫🇷 CAC 40"
Mondelez,$96.74 B,USA,$71.09,-0.73%,5.18%,🍴 Food
American Tower,$96.23 B,USA,$206.45,-2.03%,-2.73%,"🏠 Real estate, 📡 Telecommunication, 🏘️ REITs, 🛣️ Infrastructure"
Gilead Sciences,$98.46 B,USA,$79.02,1.24%,-11.68%,"💊 Pharmaceuticals, 🧬 Biotech"
Marsh & McLennan Companies,$96.47 B,USA,$195.67,0.11%,13.63%,"🏦 Insurance, 💼 Professional services"
TAQA,$96.44 B,eu United Arab Emirates,$0.86,-0.63%,-15.69%,"🛢 Oil&Gas, 🔋 Electricity, 🚰 Utility companies, ⚡ Energy"
CVS Health,$96.64 B,USA,$75.10,1.47%,-26.75%,"💊 Pharmaceuticals, ⚕️ Healthcare, 🛍️ Retail, 💊 Drugstore"
Petrobras,$96.62 B,Brazil,$14.88,3.33%,38.03%,"🛢 Oil&Gas, ⚡ Energy"
Automatic Data Processing,$94.29 B,USA,$229.27,-0.31%,-11.84%,"💼 Professional services, 👨‍💻 Software, 👩‍💻 Tech, 🖥️ IT services"
Progressive,$94.28 B,USA,$161.17,-0.33%,22.86%,🏦 Insurance
CM Bank,$94.30 B,China,$3.25,-1.74%,-37.14%,"🏦 Banks, 💳 Financial services"
Citigroup,$93.56 B,USA,$48.89,0.80%,9.40%,"🏦 Banks, 💳 Financial services"
Palo Alto Networks,$94.09 B,USA,$298.42,1.64%,85.61%,"👨‍💻 Software, 👩‍💻 Tech, 📞 Networking hardware, 🔒 IT security"
AIA,$93.14 B,Hong Kong,$8.18,1.92%,-23.91%,🏦 Insurance
Lam Research,$92.67 B,USA,$703.17,-0.69%,54.54%,"📟 Semiconductors, 👩‍💻 Tech, 💻 Tech Hardware"
Shopify,$93.13 B,Canada,$72.52,0.92%,87.68%,"🛒 E-Commerce, 🖥️ Internet, 👩‍💻 Tech"
China Life Insurance,$92.29 B,China,$3.98,-0.94%,-23.61%,🏦 Insurance
Analog Devices,$91.74 B,USA,$184.88,0.27%,8.98%,"📟 Semiconductors, 👩‍💻 Tech, 🏭 Manufacturing"
UBS,$92.35 B,Switzerland,$28.51,1.21%,56.73%,"🏦 Banks, 💳 Financial services"
Regeneron Pharmaceuticals,$91.53 B,USA,$840.14,-1.06%,9.76%,"💊 Pharmaceuticals, 🧬 Biotech"
Eaton,$92.76 B,Ireland,$232.31,1.92%,46.34%,🏙 Conglomerate
Ping An Insurance,$90.99 B,China,$5.47,-0.38%,-19.08%,🏦 Insurance
Chubb,$90.94 B,Switzerland,$222.91,-0.10%,1.70%,🏦 Insurance
Vertex Pharmaceuticals,$90.22 B,USA,$350.15,-1.07%,8.97%,"💊 Pharmaceuticals, 🧬 Biotech"
Equinor,$90.84 B,Norway,$30.79,1.45%,-14.50%,"🛢 Oil&Gas, 🔋 Electricity, ⚡ Energy"
EssilorLuxottica,$88.97 B,France,$197.17,0.91%,5.12%,"⌚ Luxury goods, 👓 Glasses and contact lenses, 🇫🇷 CAC 40"
Airbnb,$90.16 B,USA,$140.68,0.60%,48.35%,"🖥️ Internet, 👩‍💻 Tech, 🌴 Travel, 🌴 Online Travel"
KKR & Co.,$88.20 B,USA,$76.95,1.93%,59.42%,💰 Investment
CSL,$84.85 B,Australia,$175.64,0.16%,-12.24%,"💊 Pharmaceuticals, 🧬 Biotech"
Sinopec,$84.69 B,China,$0.76,2.05%,16.92%,"🛢 Oil&Gas, ⚡ Energy"
ICICI Bank,$85.02 B,India,$24.12,1.05%,5.56%,"🏦 Banks, 💳 Financial services"
Zoetis,$84.75 B,USA,$184.60,1.52%,20.12%,"💊 Pharmaceuticals, 🧬 Biotech"
Micron Technology,$82.73 B,USA,$74.96,1.78%,35.80%,"📟 Semiconductors, 👩‍💻 Tech, 💻 Tech Hardware"
Blackstone Group,$81.27 B,USA,$112.57,-1.13%,42.40%,💰 Investment
Porsche,$82.15 B,Germany,$90.18,1.46%,-15.36%,"🚗 Automakers, 🇩🇪 DAX, 🏭 Manufacturing"
Al Rajhi Bank,$81.55 B,Saudi Arabia,$20.39,1.46%,2.10%,"🏦 Banks, 💳 Financial services"
Synopsys,$81.48 B,USA,$535.93,0.33%,62.10%,"👨‍💻 Software, 📟 Semiconductors, 👩‍💻 Tech, 🔌 Electronics, 💻 Tech Hardware"
China Shenhua Energy,$81.03 B,China,$4.27,0.03%,2.40%,"⛏️ Mining, ⚡ Energy, ⛏️ Coal Mining"
Boston Scientific,$80.50 B,USA,$54.95,-0.15%,18.63%,Medical devices
MercadoLibre,$79.78 B,ar Argentina,"$1,578",-0.81%,78.46%,"🛒 E-Commerce, 🖥️ Internet, 👩‍💻 Tech"
BYD,$79.82 B,China,$27.71,-0.45%,-29.56%,"🚗 Automakers, 🏭 Manufacturing"
CNOOC,$79.98 B,China,$1.61,0.64%,27.78%,"🛢 Oil&Gas, ⚡ Energy"
Diageo,$79.45 B,UK,$141.96,1.02%,-24.17%,"🍷 Alcoholic beverages, 🥤 Beverages"
Fiserv,$79.44 B,USA,$132.36,0.72%,30.46%,"💳 Financial services, 👩‍💻 Tech"
Iberdrola,$78.54 B,Spain,$12.73,0.47%,10.99%,"🔋 Electricity, ⚡ Energy"
Southern Company,$77.97 B,USA,$71.50,-0.21%,4.11%,"🛢 Oil&Gas, 🔋 Electricity, 🚰 Utility companies, ⚡ Energy"
Compagnie Financière Richemont,$77.65 B,Switzerland,$132.22,2.57%,0.91%,⌚ Luxury goods
Wuliangye Yibin,$77.44 B,China,$19.95,0.29%,-20.39%,"🍷 Alcoholic beverages, 🥤 Beverages"
China Yangtze Power,$77.38 B,China,$3.16,0.09%,5.33%,"🔋 Electricity, 🚰 Utility companies"
LG Energy Solution,$76.73 B,South Korea,$327.94,0.94%,-18.84%,"🔋 Electricity, ⚡ Energy, 🔋 Batteries"
Canadian National Railway,$76.28 B,Canada,$117.78,-0.51%,-6.51%,"🚂 Railways, 🚚 Transportation"
BNP Paribas,$76.59 B,France,$66.75,1.21%,22.10%,"🏦 Banks, 💳 Financial services, 🇫🇷 CAC 40"
CME Group,$76.18 B,USA,$211.62,0.42%,19.42%,"💳 Financial services, 🏛 Stock exchanges, 🏛 Stock/Crypto exchanges"
Equinix,$75.27 B,USA,$801.77,-1.03%,17.33%,"🏠 Real estate, 💰 Investment, 🖥️ Internet, 👩‍💻 Tech, 🏘️ REITs"
ABB,$75.74 B,Switzerland,$41.09,1.32%,34.28%,👷 Engineering
Zurich Insurance Group,$75.33 B,Switzerland,$514.71,0.09%,7.33%,🏦 Insurance
Cigna,$75.73 B,USA,$258.80,0.33%,-22.40%,🏦 Insurance
Sherwin-Williams,$74.18 B,USA,$289.82,-0.60%,13.90%,🎨 Paint & Coating
Fast Retailing,$74.71 B,Japan,$243.63,-2.90%,19.20%,"👚 Clothing, 🛍️ Retail"
GlaxoSmithKline,$74.02 B,UK,$35.94,-0.17%,-1.80%,"💊 Pharmaceuticals, 🧬 Biotech"
Illinois Tool Works,$75.10 B,USA,$249.61,0.82%,12.78%,"🛠️ Tool manufacturers, 🏭 Manufacturing"
Enbridge,$74.22 B,Canada,$34.92,0.34%,-10.99%,"🛢 Oil&Gas, ⚡ Energy"
Infosys,$74.04 B,India,$17.89,1.42%,-8.63%,"💼 Professional services, 🖥️ IT services"
Safran,$73.45 B,France,$177.64,0.29%,44.69%,"🚀 Aerospace, 🔫 Defense contractors, 🇫🇷 CAC 40"
RELX,$73.51 B,UK,$38.96,0.00%,37.43%,💼 Professional services
Altria Group,$73.04 B,USA,$41.30,-0.05%,-11.87%,🚬 Tobacco
Atlas Copco,$72.88 B,Sweden,$13.58,1.00%,20.71%,🏭 Manufacturing
AXA,$72.87 B,France,$32.37,0.33%,13.94%,"🏦 Insurance, 🇫🇷 CAC 40"
Duke Energy,$72.74 B,USA,$94.39,-0.07%,-6.03%,"🛢 Oil&Gas, 🔋 Electricity, 🚰 Utility companies, ⚡ Energy"
KLA,$72.64 B,USA,$534.43,-1.26%,34.98%,"📟 Semiconductors, 👩‍💻 Tech, 💻 Tech Hardware"
Mercedes-Benz,$72.58 B,Germany,$67.85,0.85%,2.25%,"🚗 Automakers, 🇩🇪 DAX, 🏭 Manufacturing, 🤖 Autonomous driving"
Northrop Grumman,$71.81 B,USA,$476.25,-0.26%,-11.90%,"🚀 Aerospace, 🔫 Defense contractors"
Enel,$71.98 B,Italy,$7.09,0.37%,30.33%,"🔋 Electricity, 🚰 Utility companies, ⚡ Energy"
Workday,$71.90 B,USA,$273.41,0.38%,61.47%,"👨‍💻 Software, 👩‍💻 Tech"
Vinci,$71.36 B,France,$125.02,0.14%,21.41%,"🏗 Construction, 🇫🇷 CAC 40"
Tokyo Electron,$71.34 B,Japan,$154.15,-0.87%,-52.65%,"📟 Semiconductors, 👩‍💻 Tech, 🔌 Electronics, 💻 Tech Hardware"
BMW,$71.58 B,Germany,$108.91,2.35%,24.87%,"🚗 Automakers, 🇩🇪 DAX, 🏭 Manufacturing"
Hindustan Unilever,$71.09 B,India,$30.26,0.16%,-8.00%,"🍴 Food, 🛍 Consumer goods"
Cadence Design Systems,$70.71 B,USA,$259.93,0.18%,58.44%,"👨‍💻 Software, 👩‍💻 Tech, 🔌 Electronics, 💻 Tech Hardware"
Bharti Airtel,$70.28 B,India,$12.00,0.03%,18.58%,📡 Telecommunication
EOG Resources,$69.37 B,USA,$118.96,0.52%,-4.50%,"🛢 Oil&Gas, ⚡ Energy"
Glencore,$69.78 B,Switzerland,$5.70,-1.38%,-15.30%,"⛏️ Mining, ⚡ Energy, ⛏️ Coal Mining"
Schlumberger,$69.70 B,USA,$48.80,0.70%,-2.24%,"🛢 Oil&Gas, ⚡ Energy"
Bank Central Asia,$69.59 B,Indonesia,$0.56,-0.85%,1.82%,"🏦 Banks, 💳 Financial services"
Waste Management,$69.47 B,USA,$172.50,-0.20%,3.91%,♻️ Waste & Recycling
Stellantis,$69.35 B,Netherlands,$22.60,0.22%,52.29%,"🚗 Automakers, 🇫🇷 CAC 40, 🏭 Manufacturing"
Meituan,$69.27 B,China,$11.10,0.64%,-51.49%,"🛒 E-Commerce, 🖥️ Internet, 👩‍💻 Tech"
Arista Networks,$69.69 B,USA,$224.03,4.06%,74.85%,"👩‍💻 Tech, 🔌 Electronics, 📞 Networking hardware, 💻 Tech Hardware"
General Dynamics,$68.84 B,USA,$252.29,0.32%,1.86%,🔫 Defense contractors
SK Hynix,$68.78 B,South Korea,$97.12,1.51%,61.97%,"📟 Semiconductors, 👩‍💻 Tech, 💻 Tech Hardware"
Moody's,$68.55 B,USA,$374.61,0.53%,29.24%,💳 Financial services
Canadian Pacific Railway,$67.91 B,Canada,$72.89,-0.51%,-9.15%,"🚂 Railways, 🚚 Transportation, 🛣️ Infrastructure"
HCA Healthcare,$68.93 B,USA,$257.53,1.41%,6.62%,⚕️ Healthcare
NetEase,$68.11 B,China,$104.54,-0.21%,46.81%,"👩‍💻 Tech, 🎮 Video games, Entertainment"
